PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,AccHR_X,AccHR_Y,AccHR_Z,Gyr_X,Gyr_Y,Gyr_Z,GyrHR_X,GyrHR_Y,GyrHR_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Pressure,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
40224,1105539,-0.004852,0.162566,9.807539,-0.034429,-0.007151,0.021104,,,,0.001476,0.001466,-0.000983,,,,,,,-0.000012,0.000406,0.024519,1,0.000002,0.000002,-0.000001,,0.999955,0.008657,-0.001537,-0.003551,0.992668,-0.172615,-0.408476,0.99997,-0.007129,0.003013,0.007076,0.999825,0.017324,-0.003136,-0.017303,0.999845,,,,,,,30.29,,,
40225,1105564,0.034883,0.153792,9.791348,0.005194,-0.015998,0.004885,,,,0.00245,-0.001061,-0.00018,,,,,,,0.000087,0.000384,0.024478,1,0.000003,-0.000001,0,,0.999955,0.00866,-0.001539,-0.003551,0.992955,-0.172827,-0.408435,0.99997,-0.007128,0.003016,0.007075,0.999825,0.017329,-0.003139,-0.017308,0.999845,,,,,,,30.29,,,
40226,1105589,0.027542,0.197887,9.805868,-0.001827,0.027816,0.020145,,,,0.002906,0.000782,0.000771,,,,,,,0.000069,0.000495,0.024515,1,0.000004,0.000001,0.000001,,0.999955,0.008663,-0.001539,-0.003551,0.99332,-0.172778,-0.40839,0.99997,-0.007128,0.003016,0.007074,0.999825,0.017336,-0.003139,-0.017314,0.999845,,,,,,,30.29,,,
40227,1105614,-0.006631,0.158036,9.79588,-0.036034,-0.011511,0.009365,,,,-0.00046,0.005027,0.003161,,,,-0.217739,-0.277143,0.380352,-0.000016,0.000395,0.02449,1,-0.000001,0.000006,0.000004,100250,0.999955,0.008662,-0.001533,-0.003547,0.993203,-0.172127,-0.407992,0.99997,-0.007121,0.003004,0.007068,0.999825,0.017334,-0.003127,-0.017312,0.999845,,,,,,,30.29,,,
40228,1105639,0.020574,0.163279,9.80563,-0.008954,-0.006796,0.019285,,,,0.003324,0.000054,-0.001012,,,,,,,0.000051,0.000408,0.024514,1,0.000004,0,-0.000001,,0.999955,0.008666,-0.001533,-0.003549,0.993629,-0.172177,-0.408204,0.99997,-0.007124,0.003005,0.007071,0.999825,0.017341,-0.003128,-0.017319,0.999845,,,,,,,30.29,,,
40229,1105664,0.001695,0.147313,9.781337,-0.027885,-0.022148,-0.005339,,,,0.000743,-0.000063,0.001169,,,,,,,0.000004,0.000368,0.024453,1,0.000001,0,0.000001,,0.999955,0.008666,-0.001534,-0.003547,0.99367,-0.17225,-0.407962,0.99997,-0.00712,0.003006,0.007067,0.999825,0.017342,-0.003129,-0.01732,0.999845,,,,,,,30.29,,,
40230,1105689,0.014018,0.155087,9.798551,-0.015615,-0.014726,0.012046,,,,-0.000167,-0.000884,0.001823,,,,,,,0.000035,0.000388,0.024496,1,0,-0.000001,0.000002,,0.999955,0.008665,-0.001536,-0.003545,0.993595,-0.172442,-0.40777,0.99997,-0.007117,0.00301,0.007064,0.999825,0.017341,-0.003133,-0.017319,0.999845,,,,,,,30.29,,,
40231,1105714,0.0186,0.151852,9.792376,-0.01103,-0.017792,0.005828,,,,-0.001824,-0.000097,0.001975,,,,-0.21821,-0.27813,0.379857,0.000046,0.00038,0.024481,1,-0.000002,0,0.000002,100254,0.999955,0.008662,-0.001536,-0.003543,0.993282,-0.172522,-0.407555,0.99997,-0.007113,0.003011,0.00706,0.999825,0.017335,-0.003134,-0.017313,0.999845,,,,,,,30.29,,,
40232,1105739,0.03539,0.131352,9.786272,0.005658,-0.038305,-0.000579,,,,-0.000694,0.000624,-0.000809,,,,,,,0.000089,0.000328,0.024466,1,-0.000001,0.000001,-0.000001,,0.999955,0.008661,-0.001536,-0.003545,0.993133,-0.172491,-0.407737,0.99997,-0.007116,0.003011,0.007063,0.999825,0.017332,-0.003133,-0.017311,0.999845,,,,,,,30.29,,,
40233,1105764,0.041286,0.200402,9.811283,0.011811,0.030326,0.02564,,,,-0.001499,-0.002681,-0.003976,,,,,,,0.000103,0.000501,0.024528,1,-0.000002,-0.000003,-0.000005,,0.999955,0.008659,-0.00154,-0.003549,0.992856,-0.172926,-0.408222,0.99997,-0.007125,0.003018,0.007071,0.999825,0.017328,-0.003141,-0.017306,0.999845,,,,,,,30.29,,,
40234,1105789,0.064454,0.097194,9.801459,0.034266,-0.072821,0.014101,,,,-0.001337,-0.001353,-0.000873,,,,,,,0.000161,0.000243,0.024504,1,-0.000002,-0.000002,-0.000001,,0.999955,0.008657,-0.001542,-0.003551,0.992615,-0.173179,-0.408418,0.99997,-0.007128,0.003023,0.007075,0.999825,0.017323,-0.003145,-0.017302,0.999845,,,,,,,30.29,,,
40235,1105814,0.028337,0.174552,9.81002,-0.001236,0.00474,0.023891,,,,-0.002693,0.001439,0.000208,,,,-0.219656,-0.277627,0.380336,0.000071,0.000437,0.024525,1,-0.000003,0.000002,0,100250,0.999955,0.008653,-0.001541,-0.003551,0.992178,-0.173034,-0.408452,0.99997,-0.007129,0.00302,0.007075,0.999825,0.017316,-0.003143,-0.017294,0.999845,,,,,,,30.29,,,
40236,1105839,0.070502,0.133496,9.820342,0.040746,-0.036905,0.033628,,,,0.001217,0.003838,0.001238,,,,,,,0.000176,0.000334,0.024551,1,0.000002,0.000005,0.000002,,0.999955,0.008654,-0.001537,-0.00355,0.992302,-0.172548,-0.408333,0.99997,-0.007127,0.003012,0.007073,0.999825,0.017318,-0.003134,-0.017296,0.999845,,,,,,,30.29,,,
40237,1105864,0.02319,0.169444,9.820745,-0.006496,-0.000735,0.034513,,,,0.00292,-0.001629,-0.000049,,,,,,,0.000058,0.000423,0.024552,1,0.000004,-0.000002,0,,0.999955,0.008657,-0.001539,-0.003549,0.992655,-0.172842,-0.408256,0.99997,-0.007125,0.003017,0.007072,0.999825,0.017324,-0.00314,-0.017302,0.999846,,,,,,,30.29,,,
40238,1105889,0.063303,0.136211,9.807348,0.03359,-0.033942,0.020663,,,,0.000086,0.002783,-0.000598,,,,,,,0.000158,0.000341,0.024518,1,0,0.000003,-0.000001,,0.999955,0.008657,-0.001536,-0.003551,0.992617,-0.172503,-0.408403,0.99997,-0.007128,0.003011,0.007075,0.999825,0.017324,-0.003134,-0.017302,0.999846,,,,,,,30.29,,,
40239,1105914,-0.008886,0.203867,9.816766,-0.03805,0.034026,0.031035,,,,0.000779,0.003663,0.002498,,,,-0.218232,-0.276154,0.379848,-0.000022,0.00051,0.024542,1,0.000001,0.000005,0.000003,100250,0.999955,0.008657,-0.001532,-0.003548,0.992678,-0.172045,-0.408103,0.99997,-0.007123,0.003003,0.00707,0.999825,0.017325,-0.003126,-0.017303,0.999846,,,,,,,30.28,,,
40240,1105939,-0.025756,0.075013,9.779644,-0.055609,-0.094077,-0.008365,,,,0.001258,0.004198,0.000066,,,,,,,-0.000064,0.000187,0.024449,1,0.000002,0.000005,0,,0.999955,0.008658,-0.001527,-0.003549,0.992807,-0.171505,-0.408151,0.99997,-0.007123,0.002993,0.007071,0.999825,0.017327,-0.003116,-0.017305,0.999846,,,,,,,30.28,,,
40241,1105964,0.058416,0.27886,9.822176,0.029607,0.108335,0.037948,,,,0.002178,-0.003015,0.00094,,,,,,,0.000146,0.000697,0.024555,1,0.000003,-0.000004,0.000001,,0.999955,0.008661,-0.001532,-0.003547,0.993055,-0.172,-0.407952,0.99997,-0.00712,0.003002,0.007067,0.999825,0.017331,-0.003125,-0.017309,0.999846,,,,,,,30.28,,,
