PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Pressure,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
15407,4510608,-0.088578,0.178763,9.828327,-0.000161,0.007058,0.002135,-0.221127,-0.354149,0.399479,-0.000221,0.000447,0.024571,1,0,0.000009,0.000003,100638,0.999961,0.008398,-0.002586,-0.000846,0.9626,-0.295483,-0.099414,0.999985,-0.001735,0.005157,0.001648,0.999858,0.0168,-0.005186,-0.016791,0.999846
15408,4510633,0.181187,0.186351,9.793137,0.000163,-0.002418,0.002205,,,,0.000453,0.000466,0.024483,1,0,-0.000003,0.000003,,0.999961,0.008397,-0.002589,-0.000844,0.962513,-0.295828,-0.099149,0.999985,-0.00173,0.005163,0.001644,0.999858,0.016798,-0.005191,-0.016789,0.999846
15409,4510658,-0.230217,0.099057,9.778666,0.000701,-0.000986,0.000712,,,,-0.000576,0.000248,0.024447,1,0.000001,-0.000001,0.000001,,0.999961,0.008397,-0.00259,-0.000843,0.962499,-0.295934,-0.099124,0.999985,-0.00173,0.005165,0.001643,0.999858,0.016798,-0.005193,-0.016789,0.999846
15410,4510683,0.339703,0.17327,9.755778,-0.001602,-0.000235,-0.002761,,,,0.000849,0.000433,0.024389,1,-0.000002,0,-0.000003,,0.999961,0.008394,-0.00259,-0.000847,0.962163,-0.295955,-0.099565,0.999985,-0.001738,0.005165,0.001651,0.999858,0.016792,-0.005194,-0.016783,0.999846
15411,4510708,-0.281788,0.175909,9.813951,0.006946,-0.002868,-0.000165,-0.222102,-0.353157,0.398475,-0.000705,0.000439,0.024535,1,0.000009,-0.000004,0,100638,0.999961,0.008402,-0.002593,-0.000848,0.96305,-0.296359,-0.099641,0.999985,-0.001739,0.005172,0.001652,0.999857,0.016807,-0.005201,-0.016799,0.999845
15412,4510733,0.261833,0.11073,9.775402,-0.002664,0.002807,-0.003049,,,,0.000655,0.000277,0.024439,1,-0.000003,0.000004,-0.000004,,0.999961,0.008398,-0.00259,-0.000852,0.962563,-0.295944,-0.100116,0.999985,-0.001747,0.005165,0.00166,0.999858,0.016799,-0.005194,-0.01679,0.999846
15413,4510758,-0.118261,0.198519,9.857819,0.00628,-0.000733,0.000428,,,,-0.000296,0.000496,0.024645,1,0.000008,-0.000001,0.000001,,0.999961,0.008404,-0.00259,-0.000853,0.963348,-0.296013,-0.100202,0.999985,-0.001749,0.005166,0.001662,0.999857,0.016813,-0.005195,-0.016804,0.999845
15414,4510783,0.153169,0.078916,9.742906,-0.001973,0.003546,0.001439,,,,0.000383,0.000197,0.024357,1,-0.000002,0.000004,0.000002,,0.999961,0.008401,-0.002586,-0.000851,0.962956,-0.295502,-0.100033,0.999985,-0.001746,0.005157,0.001659,0.999857,0.016806,-0.005186,-0.016797,0.999845
15415,4510808,-0.178599,0.251293,9.814404,0.009672,-0.00872,0.00233,-0.223553,-0.352159,0.399446,-0.000447,0.000628,0.024536,1,0.000012,-0.000011,0.000003,100638,0.999961,0.008412,-0.002597,-0.000849,0.964232,-0.296751,-0.099765,0.999985,-0.001741,0.005179,0.001654,0.999857,0.016828,-0.005208,-0.016819,0.999845
15416,4510833,0.271661,0.042559,9.789136,0.001013,0.004577,-0.000645,,,,0.000679,0.000106,0.024473,1,0.000001,0.000006,-0.000001,,0.999961,0.008412,-0.002591,-0.00085,0.964269,-0.296088,-0.099891,0.999985,-0.001743,0.005168,0.001656,0.999857,0.016829,-0.005196,-0.01682,0.999845
